Date,Last Name,First Name,School,Sport,Class Year,Class Rank,Type,Partner,URL
04/10/2023,Carter,Andre,Indiana Hoosiers,Football,2018,RedShirt Senior,Collective,Hoosiers Connect,https://twitter.com/HoosiersConnect/status/1645483621912920064
04/10/2023,Isaac,Adisa,Penn State Nittany Lions,Football,2019,RedShirt Senior,,,https://twitter.com/limitlessnil/status/1645433339061387266
04/07/2023,Tate,Carnell,Ohio State Buckeyes,Football,2023,Freshman,,,https://twitter.com/carnelltate_/status/1644107438264655872?s=20
04/06/2023,Harrison Jr.,Marvin,Ohio State Buckeyes,Football,2021,Junior,Company,Mark Wahlberg Chevrolet of Columbus,https://www.instagram.com/p/CpOAdk5uv5i/
04/06/2023,Cox,Tristan,Purdue Boilermakers,Football,2021,RedShirt Sophomore,,,
04/04/2023,Cabana,Cole,Michigan Wolverines,Football,2023,Freshman,Company,Cole Cabana Youth Football Camp,https://twitter.com/colecabana/status/1643269356845924355
03/28/2023,Holmes,Mackenzie,Indiana Hoosiers,,2019,Senior,Company,Dick's Sporting Goods,https://www.on3.com/nil/news/dicks-sporting-goods-signs-nil-deals-with-eight-athletes-final-four-dallas-houston/
03/27/2023,Parrish,Sydney,Indiana Hoosiers,,2020,Junior,Company,Powerade,https://www.instagram.com/p/Cpuz4iesOVV/
03/26/2023,Durant,Zane,Penn State Nittany Lions,Football,2022,Sophomore,,,https://twitter.com/limitlessnil/status/1638911564098027523/photo/1
03/24/2023,Wilke,Maty,Wisconsin Badgers,,2021,RedShirt Freshman,Company,Summit Credit Union,https://www.bizjournals.com/milwaukee/news/2023/03/24/summit-credit-union-signs-nil-deals-with-uw-studen.html
03/24/2023,Robbins,Kiley,Wisconsin Badgers,,2021,Sophomore,Company,Summit Credit Union,https://www.bizjournals.com/milwaukee/news/2023/03/24/summit-credit-union-signs-nil-deals-with-uw-studen.html
03/22/2023,Colson,Junior,Michigan Wolverines,Football,2021,Junior,Company,Randy Wise Automotive Team,https://twitter.com/RandyWiseAT/status/1638330595594862594?ref_src=twsrc%5Etfw%7Ctwcamp%5Etweetembed%7Ctwterm%5E1638330595594862594%7Ctwgr%5Ee87c2b97135a9e844696c3a7561380da982fd34a%7Ctwcon%5Es1_&ref_url=https%3A%2F%2Fwww.on3.com%2Fteams%2Fmichigan-wolver
03/20/2023,McCarthy,J.J.,Michigan Wolverines,Football,2021,Junior,Company,Essentia Water,https://www.instagram.com/stories/jjmccarthy/3062227305922424902/
03/18/2023,Hood-Schifino,Jalen,Indiana Hoosiers,Basketball,2022,Freshman,Company,T-Mobile,https://www.instagram.com/p/Cp8-PG2toAn/?utm_source=ig_web_copy_link
03/16/2023,Jackson-Davis,Trayce,Indiana Hoosiers,Basketball,2019,Junior,Company,LG Electronics,https://www.instagram.com/p/Cp0OivFjY_N/
03/16/2023,Furst,Caleb,Purdue Boilermakers,Basketball,2021,Sophomore,Company,Pepsi,
03/16/2023,Loyer,Fletcher,Purdue Boilermakers,Basketball,2022,Freshman,Company,Pepsi,https://twitter.com/FletcherLoyer/status/1636077476991631360
03/16/2023,Gillis,Mason,Purdue Boilermakers,Basketball,2019,RedShirt Junior,Company,Pepsi,https://twitter.com/GillisMason/status/1636067420577071106
03/16/2023,Morton,Ethan,Purdue Boilermakers,Basketball,2020,Junior,Company,Pepsi,https://twitter.com/ethanmorton25/status/1636180799606202372
03/16/2023,Jenkins,David,Purdue Boilermakers,,2016,Senior,Company,Pepsi,https://twitter.com/WorldStarDave/status/1636187390405427200
03/16/2023,Clark,Caitlin,Iowa Hawkeyes,,2020,Junior,Company,"10,000 Small Businesses Voices",https://www.on3.com/nil/news/caitlin-clark-caleb-love-nil-advertisement-modernization-small-business-administration-goldman-sachs/
03/16/2023,Love,Caleb,Michigan Wolverines,Basketball,2020,Junior,Company,"10,000 Small Businesses Voices",https://www.on3.com/nil/news/caitlin-clark-caleb-love-nil-advertisement-modernization-small-business-administration-goldman-sachs/
03/15/2023,Hoggard,AJ,Michigan State Spartans,Basketball,2020,Junior,Company,NextGenCamps,https://www.on3.com/nil/news/nextgen-camps-basketball-april-madness-nil-jalen-wilson-trayce-jackson-davis-dillon-mitchell/
03/15/2023,Hall,Malik,Michigan State Spartans,Basketball,2019,Senior,Company,NextGenCamps,https://www.on3.com/nil/news/nextgen-camps-basketball-april-madness-nil-jalen-wilson-trayce-jackson-davis-dillon-mitchell/
03/15/2023,Walker,Tyson,Michigan State Spartans,Basketball,2019,Senior,Company,NextGenCamps,https://www.on3.com/nil/news/nextgen-camps-basketball-april-madness-nil-jalen-wilson-trayce-jackson-davis-dillon-mitchell/
03/15/2023,Jackson-Davis,Trayce,Indiana Hoosiers,Basketball,2019,Junior,Company,NextGenCamps,https://www.on3.com/nil/news/nextgen-camps-basketball-april-madness-nil-jalen-wilson-trayce-jackson-davis-dillon-mitchell/
03/15/2023,Hood-Schifino,Jalen,Indiana Hoosiers,Basketball,2022,Freshman,Collective,Hoosiers Connect,https://twitter.com/HoosiersConnect/status/1636054137660899332?s=20
03/15/2023,Harrison Jr.,Marvin,Ohio State Buckeyes,Football,2021,Junior,Collective,The Foundation,https://twitter.com/TheFoundation1_/status/1636039042398658566?s=20
03/15/2023,Jackson-Davis,Trayce,Indiana Hoosiers,Basketball,2019,Junior,Company,Dunkin',https://www.instagram.com/p/CpyWTH8uA15/
03/14/2023,Harrison Jr.,Marvin,Ohio State Buckeyes,Football,2021,Junior,Company,Ronald McDonald House Charities of Central Ohio,https://www.on3.com/nil/news/marvin-harrison-jr-partners-ronald-mcdonald-house-cohesion-foundation-nil-deal/
03/13/2023,Clark,Caitlin,Iowa Hawkeyes,,2020,Junior,Company,Buick,https://www.instagram.com/p/CpsHeLavrQF/
03/13/2023,Williams,Miyan,Ohio State Buckeyes,Football,2020,Senior,,,https://twitter.com/limitlessnil/status/1635282263532531721
03/13/2023,Cabana,Cole,Michigan Wolverines,Football,2023,Freshman,Company,MGoDAO,https://twitter.com/Uncle_Dabe/status/1635278870021799940?s=20
03/13/2023,Jackson-Davis,Trayce,Indiana Hoosiers,Basketball,2019,Junior,Company,Bose,https://www.instagram.com/p/CpvR4ShD_KS/
03/13/2023,Sueing,Justice,Ohio State Buckeyes,Basketball,2017,RedShirt Senior,Company,Intuit TurboTax,https://www.instagram.com/p/CpvPKlXJUqN/
03/10/2023,Mayer,Matthew,Illinois Fighting Illini,Basketball,2018,Senior,Company,Campus Ink,https://www.on3.com/nil/news/matthew-mayer-illinois-fighting-illini-basketball-nil-deal-store-t-shirt/
03/08/2023,Carter,Abdul,Penn State Nittany Lions,Football,2022,Sophomore,Company,Philadelphia Sportscard & Memorabilia Show,https://www.instagram.com/p/Cphrl3eO_6T/
03/08/2023,Allen,Kaytron,Penn State Nittany Lions,Football,2022,Sophomore,Company,Philadelphia Sportscard & Memorabilia Show,https://www.instagram.com/p/Cphrl3eO_6T/
03/08/2023,Singleton,Nicholas,Penn State Nittany Lions,Football,2022,Sophomore,Company,Philadelphia Sportscard & Memorabilia Show,https://www.instagram.com/p/Cphrl3eO_6T/
03/07/2023,Omoruyi,Cliff,Rutgers Scarlet Knights,Basketball,2020,Junior,Company,Nabisco,https://www.instagram.com/p/CpXyhqKLr0O/
03/07/2023,Mayer,Matthew,Illinois Fighting Illini,Basketball,2018,Senior,Company,Great Clips,https://www.nilnewsstand.com/updates/great-clips-asks-fans-to-go-hats-off-this-march-madness
03/07/2023,Weir,Olivia,Maryland Terrapins,,0,Junior,Company,United States Sports Cards,https://twitter.com/USSportsCards1/status/1632373328538222596
03/02/2023,Love,Caleb,Michigan Wolverines,Basketball,2020,Junior,Company,Continental Tires,https://www.instagram.com/p/CpQP-dGO6bh/
03/01/2023,Harrison Jr.,Marvin,Ohio State Buckeyes,Football,2021,Junior,Company,Monarc,https://twitter.com/marvharrisonjr/status/1631044687212564481?s=10&t=5tj8lYkTX0jitIxnCuXSkA
03/01/2023,Galloway,Trey,Indiana Hoosiers,Basketball,2020,Sophomore,Company,TWG Development,
02/28/2023,Parrish,Sydney,Indiana Hoosiers,,2020,Junior,Company,Casey’s,https://www.businesswire.com/news/home/20230228005237/en/Casey%E2%80%99s-Delivers-on-Guests%E2%80%99-Cravings-for-Fan-Favorite-Topping-with-New-PEPPERONI-PEPPERONI-PEPPERONI-Pizza
02/28/2023,Murray,Kris,Iowa Hawkeyes,Basketball,2020,Junior,Company,Casey’s,https://www.businesswire.com/news/home/20230228005237/en/Casey%E2%80%99s-Delivers-on-Guests%E2%80%99-Cravings-for-Fan-Favorite-Topping-with-New-PEPPERONI-PEPPERONI-PEPPERONI-Pizza
02/24/2023,Inniss,Brandon,Ohio State Buckeyes,Football,2023,Junior,,,https://twitter.com/Brandon1inniss/status/1629181043596042243
02/23/2023,Ortiz,Marco,Nebraska Cornhuskers,,2018,RedShirt Senior,Collective,The 1890 Initiative,https://twitter.com/1890Initiative/status/1628849210572394502
02/23/2023,Purdy,Chubba,Nebraska Cornhuskers,Football,2020,RedShirt Freshman,Collective,The 1890 Initiative,https://twitter.com/1890Initiative/status/1628886596295565313
02/23/2023,Haiby,Sam,Nebraska Cornhuskers,,2018,Senior,Collective,The 1890 Initiative,https://twitter.com/1890Initiative/status/1628766253325197312
